X,Y,标注类别名称,预测类别,图像路径
0.38624784,3.2363153,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
-1.265004,0.5015717,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
0.4230404,2.8415995,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
1.0785676,3.2025123,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
0.5733283,-0.72937995,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
0.70205307,3.5016055,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
0.39722323,3.2629304,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
-1.2287214,0.90642977,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
1.2573707,2.9101155,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
1.2729429,0.3691906,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
1.5818644,2.3236578,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
0.5661472,2.8146374,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
1.3386647,0.327323,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
0.8252216,2.9113176,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
1.6336635,0.79953796,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
0.6369714,3.4417844,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
1.2088362,2.835988,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
1.0558043,3.357371,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
0.7453803,3.314725,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
-0.8951267,2.7703154,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
-1.2502832,0.99793905,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
1.3510007,2.696712,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/25.jpg
0.39526,3.2788665,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
0.6336466,3.3594782,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
-1.2415329,2.3829415,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
0.47027397,3.3201888,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
4.0901456,-0.7773908,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
1.3911313,-1.6795896,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
1.216774,2.8777542,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
0.5887864,3.1174324,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
1.2717047,2.8652108,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
0.6093315,3.4521334,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
0.7334327,3.3649685,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
0.9785319,3.3486319,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
1.3442198,2.2042615,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
1.505092,0.5677532,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
0.22313084,2.9344468,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
-2.1390748,-0.96533555,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
-0.9727832,-2.4157815,圣女果,杨梅,fruit30_split/val/圣女果/102.jpeg
-1.9208736,-1.8674685,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
-1.961894,-1.4025836,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
-2.1554837,-1.5495192,圣女果,西红柿,fruit30_split/val/圣女果/132.png
-2.3932345,-1.3602544,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
-2.0360465,-2.0245652,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
-1.1711825,-2.2194464,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
-1.9621296,-1.9032146,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
-1.6905111,-2.1224635,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
-1.9919261,-1.3808999,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
-1.6482685,-1.9673308,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
-1.6226841,-1.9035432,圣女果,圣女果,fruit30_split/val/圣女果/175.png
-0.560834,-0.45086038,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
0.053211726,2.1804018,圣女果,柚子,fruit30_split/val/圣女果/182.jpg
-2.2317052,-1.5724742,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
