X,Y,Z,标注类别名称,预测类别,图像路径
-0.7550862,2.6097577,3.6963592,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
0.6771066,-0.26767138,4.8336215,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
0.39485663,2.229648,4.373939,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
-0.38929215,3.0064294,3.6420028,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
2.1423433,0.73651165,4.9326015,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
-0.8587808,2.8633091,3.5631616,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
-0.80045027,2.7389941,3.670291,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
0.58234906,-0.23512644,4.5520606,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
0.30793548,2.5355642,3.911345,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
1.1514069,0.77211195,3.901205,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
0.21472375,3.0227344,3.4721477,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
-0.25209492,2.4330108,3.9924746,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
1.2659402,0.7626338,3.9640093,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
-0.1555348,2.8306804,3.6135888,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
-0.22033298,2.5990367,3.9226322,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
-0.8407981,2.8536136,3.584935,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
0.35471028,2.4695573,3.9316976,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
-0.36293533,2.9952083,3.3236618,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
-0.72977203,2.9117908,3.6369288,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
0.32215858,0.94128907,3.2795987,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
0.49301407,-0.17858066,4.507313,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
0.34478948,2.6827283,4.249715,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/25.jpg
-0.7610109,2.7020087,3.5991254,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
-0.7606483,2.8149605,3.6304822,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
0.2726604,0.6054518,3.4898727,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
-0.5118673,2.6446657,3.412725,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
2.5414803,3.9545486,5.810981,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
1.1478384,-0.2206104,4.8240147,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
0.2473434,2.5170465,3.89215,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
-0.31823263,2.4904537,3.4055135,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
0.26195833,2.5187042,3.848788,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
-0.83746034,2.8075757,3.603339,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
-0.7541339,2.8866513,3.6075916,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
-0.46630502,3.0405505,3.3719478,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
0.42569828,2.7196496,3.4974346,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
1.1828936,0.9207003,3.8872147,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
0.12810327,2.1399343,4.15283,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
-0.68534553,1.1022434,6.959079,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
1.0325032,1.1369333,7.555473,圣女果,杨梅,fruit30_split/val/圣女果/102.jpeg
-0.12716435,1.6658647,7.514811,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
-0.47512177,1.3489712,7.3207946,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
-0.51097274,1.5804602,7.3705626,圣女果,西红柿,fruit30_split/val/圣女果/132.png
-0.5701925,1.3340793,7.4258175,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
-0.11158811,1.3612206,7.731169,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
0.9551853,0.95278966,7.2944684,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
-0.16565871,1.3028443,7.6674533,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
0.21423812,1.4350724,7.7066855,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
-0.44777033,1.329588,7.29285,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
0.28383523,1.6650647,7.4789977,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
0.10459118,1.522644,7.52413,圣女果,圣女果,fruit30_split/val/圣女果/175.png
-0.20856525,0.93180877,6.656645,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
-0.52742517,1.9928675,4.425186,圣女果,柚子,fruit30_split/val/圣女果/182.jpg
-0.43492967,1.5411772,7.320069,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
-0.48441797,1.550626,7.319667,圣女果,圣女果,fruit30_split/val/圣女果/196.jpg
0.57026225,1.9417237,6.1522646,圣女果,西红柿,fruit30_split/val/圣女果/22.jpg
-0.09220025,1.5188514,7.488182,圣女果,圣女果,fruit30_split/val/圣女果/26.jpg
-0.78557676,1.1503708,6.881333,圣女果,脐橙,fruit30_split/val/圣女果/27.jpg
0.8433096,0.84670395,7.2066875,圣女果,圣女果,fruit30_split/val/圣女果/28.jpg
1.0765357,1.2841092,7.165697,圣女果,圣女果,fruit30_split/val/圣女果/31.jpg
0.059439413,0.91537386,6.820255,圣女果,砂糖橘,fruit30_split/val/圣女果/35.jpg
0.8906313,1.0720487,7.609365,圣女果,石榴,fruit30_split/val/圣女果/39.jpeg
-0.0044797105,1.411359,7.7386117,圣女果,圣女果,fruit30_split/val/圣女果/42.jpg
-0.06494415,1.4405502,7.607477,圣女果,圣女果,fruit30_split/val/圣女果/44.jpg
0.71555716,0.92630315,7.391609,圣女果,圣女果,fruit30_split/val/圣女果/48.jpeg
-0.26506412,1.8407568,7.0640154,圣女果,圣女果,fruit30_split/val/圣女果/53.jpg
-0.15099889,1.4375407,7.483825,圣女果,黄瓜,fruit30_split/val/圣女果/56.jpg
-0.012689279,1.4680321,7.5495095,圣女果,西红柿,fruit30_split/val/圣女果/58.jpg
0.1322643,1.4984887,7.7269144,圣女果,圣女果,fruit30_split/val/圣女果/60.jpeg
-0.108132794,1.4020867,7.606402,圣女果,圣女果,fruit30_split/val/圣女果/61.jpg
-0.12765628,1.4382446,7.634488,圣女果,圣女果,fruit30_split/val/圣女果/63.jpg
-0.041320555,1.3325539,7.7780485,圣女果,圣女果,fruit30_split/val/圣女果/65.jpg
0.7474798,0.9922954,7.494501,圣女果,圣女果,fruit30_split/val/圣女果/71.jpeg
-0.43775332,1.4204313,7.4776993,圣女果,圣女果,fruit30_split/val/圣女果/72.jpg
-0.09598415,1.4288645,7.6994343,圣女果,圣女果,fruit30_split/val/圣女果/76.jpg
-0.47222537,1.4470738,7.067811,圣女果,西红柿,fruit30_split/val/圣女果/88.jpg
-1.2472715,-0.18899456,4.8454237,山竹,山竹,fruit30_split/val/山竹/101.jpg
2.089534,0.85836405,4.7511544,山竹,山竹,fruit30_split/val/山竹/105.jpg
0.24087776,1.6306762,5.0653405,山竹,山竹,fruit30_split/val/山竹/107.jpeg
0.69735557,1.5111177,5.171416,山竹,山竹,fruit30_split/val/山竹/112.jpg
1.4218247,1.3273523,4.4451017,山竹,苹果-青,fruit30_split/val/山竹/114.jpg
-1.4993109,-0.14062211,5.078462,山竹,山竹,fruit30_split/val/山竹/129.jpg
0.4823617,0.2858085,5.958337,山竹,山竹,fruit30_split/val/山竹/140.jpg
-1.2521579,0.10254885,4.96024,山竹,山竹,fruit30_split/val/山竹/143.jpg
-1.1990914,-0.19584198,5.0470853,山竹,山竹,fruit30_split/val/山竹/144.jpg
0.9021893,1.3892885,4.8366795,山竹,葡萄-红,fruit30_split/val/山竹/148.jpeg
-1.4689548,-0.20484726,4.9793777,山竹,山竹,fruit30_split/val/山竹/149.png
-1.460293,-0.12270451,5.018965,山竹,山竹,fruit30_split/val/山竹/16.jpg
1.7815129,1.3366705,4.9274793,山竹,山竹,fruit30_split/val/山竹/162.jpeg
-1.3544593,-0.20265208,4.919848,山竹,山竹,fruit30_split/val/山竹/166.jpg
-1.1232423,-0.19370803,5.076166,山竹,葡萄-红,fruit30_split/val/山竹/173.jpg
-1.6939204,-0.30156684,4.928496,山竹,山竹,fruit30_split/val/山竹/174.jpg
-1.5278277,-0.26645714,5.0016603,山竹,山竹,fruit30_split/val/山竹/178.jpg
-1.5817902,-0.2269614,5.0387063,山竹,山竹,fruit30_split/val/山竹/181.jpg
-1.4005586,-0.07950644,5.142133,山竹,山竹,fruit30_split/val/山竹/194.jpg
-1.0770258,-0.160063,5.0988054,山竹,山竹,fruit30_split/val/山竹/2.jpg
-1.4044396,-0.069444,5.0638165,山竹,山竹,fruit30_split/val/山竹/24.jpg
