X,Y,标注类别名称,预测类别,图像路径
25.029305,-5.1008296,哈密瓜,柚子,fruit30_split/val/哈密瓜/106.jpg
-1.2867069,-12.382452,哈密瓜,桂圆,fruit30_split/val/哈密瓜/109.jpg
17.590164,4.455875,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/114.jpg
32.365868,-10.147852,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/116.jpg
-17.639114,-24.139822,哈密瓜,柚子,fruit30_split/val/哈密瓜/118.png
30.276873,-6.603565,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/123.jpg
27.058634,-4.7995253,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/127.jpg
23.549198,38.070774,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/129.jpg
27.847046,-32.34282,哈密瓜,芒果,fruit30_split/val/哈密瓜/131.jpg
11.361847,-42.70454,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/133.jpg
25.792255,-12.934156,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/136.jpg
14.392102,5.536929,哈密瓜,柠檬,fruit30_split/val/哈密瓜/137.jpg
11.432604,-41.88192,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/14.jpg
26.654436,-11.900891,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/144.jpg
11.888879,-39.42536,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/145.jpg
29.75776,-5.8165035,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/152.jpg
30.080456,-34.117744,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/163.jpg
28.171518,-10.085504,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/164.jpg
29.424984,-8.008144,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/173.jpg
21.575075,1.1770247,哈密瓜,柚子,fruit30_split/val/哈密瓜/178.jpg
23.7457,37.862633,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/182.jpg
24.90722,-28.336912,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/25.jpg
27.065649,-4.738569,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/29.png
28.057856,-6.7605953,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/38.jpg
12.395124,-24.888985,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/44.jpg
25.928305,-8.436648,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/46.jpg
-45.723442,-12.280434,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/48.jpg
1.0093437,-25.505682,哈密瓜,桂圆,fruit30_split/val/哈密瓜/56.jpg
27.807688,-32.909187,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/63.jpg
25.72294,-8.409443,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/66.jpg
30.06046,-33.706394,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/7.jpg
29.581772,-5.6263585,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/70.jpg
29.19273,-8.057501,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/75.jpg
29.519579,-10.493725,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/84.jpg
24.470024,-14.548709,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/9.jpg
11.671278,-40.646843,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/90.jpg
17.526356,4.711785,哈密瓜,哈密瓜,fruit30_split/val/哈密瓜/91.jpg
-15.745064,1.9618192,圣女果,西红柿,fruit30_split/val/圣女果/100.jpeg
-29.271206,19.745201,圣女果,杨梅,fruit30_split/val/圣女果/102.jpeg
-27.65676,9.963383,圣女果,圣女果,fruit30_split/val/圣女果/114.jpg
-16.344141,14.005296,圣女果,圣女果,fruit30_split/val/圣女果/12.jpg
-16.354816,11.219096,圣女果,西红柿,fruit30_split/val/圣女果/132.png
-18.83106,8.478099,圣女果,圣女果,fruit30_split/val/圣女果/135.jpeg
-24.11331,14.237548,圣女果,圣女果,fruit30_split/val/圣女果/138.jpeg
-28.35069,16.58622,圣女果,圣女果,fruit30_split/val/圣女果/144.jpeg
-23.529806,11.361654,圣女果,西红柿,fruit30_split/val/圣女果/150.jpg
-22.685856,18.370134,圣女果,圣女果,fruit30_split/val/圣女果/151.jpg
-14.739413,14.510093,圣女果,西红柿,fruit30_split/val/圣女果/161.jpg
-24.753426,17.712036,圣女果,圣女果,fruit30_split/val/圣女果/163.jpg
-19.56698,16.32185,圣女果,圣女果,fruit30_split/val/圣女果/175.png
-18.885052,-0.4471316,圣女果,西红柿,fruit30_split/val/圣女果/181.jpg
10.981056,5.092624,圣女果,柚子,fruit30_split/val/圣女果/182.jpg
-21.027958,8.527787,圣女果,圣女果,fruit30_split/val/圣女果/191.jpg
-20.477592,7.633567,圣女果,圣女果,fruit30_split/val/圣女果/196.jpg
-12.18388,19.85473,圣女果,西红柿,fruit30_split/val/圣女果/22.jpg
-21.481998,13.682525,圣女果,圣女果,fruit30_split/val/圣女果/26.jpg
-16.007467,0.8863148,圣女果,脐橙,fruit30_split/val/圣女果/27.jpg
-28.520473,15.416433,圣女果,圣女果,fruit30_split/val/圣女果/28.jpg
-24.522564,22.397247,圣女果,圣女果,fruit30_split/val/圣女果/31.jpg
-19.840242,-0.1563967,圣女果,砂糖橘,fruit30_split/val/圣女果/35.jpg
-31.09777,18.359379,圣女果,石榴,fruit30_split/val/圣女果/39.jpeg
-21.702742,16.209572,圣女果,圣女果,fruit30_split/val/圣女果/42.jpg
-21.064486,14.756203,圣女果,圣女果,fruit30_split/val/圣女果/44.jpg
-29.40924,14.978076,圣女果,圣女果,fruit30_split/val/圣女果/48.jpeg
-17.927036,12.746732,圣女果,圣女果,fruit30_split/val/圣女果/53.jpg
-25.596104,11.936823,圣女果,黄瓜,fruit30_split/val/圣女果/56.jpg
-24.444134,8.571941,圣女果,西红柿,fruit30_split/val/圣女果/58.jpg
-22.832989,16.351791,圣女果,圣女果,fruit30_split/val/圣女果/60.jpeg
-20.0981,14.709788,圣女果,圣女果,fruit30_split/val/圣女果/61.jpg
-22.316048,14.132765,圣女果,圣女果,fruit30_split/val/圣女果/63.jpg
-25.30123,15.261817,圣女果,圣女果,fruit30_split/val/圣女果/65.jpg
-30.545046,16.653944,圣女果,圣女果,fruit30_split/val/圣女果/71.jpeg
-22.112638,4.999251,圣女果,圣女果,fruit30_split/val/圣女果/72.jpg
-23.01303,14.774897,圣女果,圣女果,fruit30_split/val/圣女果/76.jpg
-12.205992,11.611775,圣女果,西红柿,fruit30_split/val/圣女果/88.jpg
1.6089629,30.817013,山竹,山竹,fruit30_split/val/山竹/101.jpg
-19.607298,-20.581686,山竹,山竹,fruit30_split/val/山竹/105.jpg
-2.3221,10.095675,山竹,山竹,fruit30_split/val/山竹/107.jpeg
-4.6062436,10.02768,山竹,山竹,fruit30_split/val/山竹/112.jpg
-13.770281,-8.651398,山竹,苹果-青,fruit30_split/val/山竹/114.jpg
-2.6461139,26.527279,山竹,山竹,fruit30_split/val/山竹/129.jpg
-25.129267,1.6648139,山竹,山竹,fruit30_split/val/山竹/140.jpg
1.1885335,26.424698,山竹,山竹,fruit30_split/val/山竹/143.jpg
-2.4833262,33.31278,山竹,山竹,fruit30_split/val/山竹/144.jpg
-5.322597,35.025112,山竹,葡萄-红,fruit30_split/val/山竹/148.jpeg
0.077846214,29.02228,山竹,山竹,fruit30_split/val/山竹/149.png
-1.6609914,26.89435,山竹,山竹,fruit30_split/val/山竹/16.jpg
-20.176813,-8.3795805,山竹,山竹,fruit30_split/val/山竹/162.jpeg
0.52211326,30.36252,山竹,山竹,fruit30_split/val/山竹/166.jpg
-3.723561,33.64416,山竹,葡萄-红,fruit30_split/val/山竹/173.jpg
-2.7944648,29.388687,山竹,山竹,fruit30_split/val/山竹/174.jpg
-1.1994952,29.03783,山竹,山竹,fruit30_split/val/山竹/178.jpg
-4.3403435,28.898045,山竹,山竹,fruit30_split/val/山竹/181.jpg
-4.4437165,24.891916,山竹,山竹,fruit30_split/val/山竹/194.jpg
-2.3242397,33.789913,山竹,山竹,fruit30_split/val/山竹/2.jpg
-0.84376806,25.73564,山竹,山竹,fruit30_split/val/山竹/24.jpg
-3.1215558,28.539732,山竹,山竹,fruit30_split/val/山竹/25.jpg
-19.462923,-7.606331,山竹,山竹,fruit30_split/val/山竹/33.jpg
-1.7029089,30.989592,山竹,山竹,fruit30_split/val/山竹/35.jpg
-4.918609,29.341183,山竹,山竹,fruit30_split/val/山竹/4.jpg
-3.7067473,24.90844,山竹,山竹,fruit30_split/val/山竹/47.jpg
-1.3864149,34.701763,山竹,山竹,fruit30_split/val/山竹/5.jpg
-2.5469172,26.082777,山竹,山竹,fruit30_split/val/山竹/58.jpg
-14.86981,24.93565,山竹,葡萄-红,fruit30_split/val/山竹/63.jpg
0.02762075,26.387117,山竹,山竹,fruit30_split/val/山竹/77.jpg
-3.6045685,9.872609,山竹,山竹,fruit30_split/val/山竹/78.jpg
10.100325,-20.414225,山竹,椰子,fruit30_split/val/山竹/79.jpg
-1.8511474,23.890203,山竹,山竹,fruit30_split/val/山竹/87.jpg
-0.17602243,33.09967,山竹,山竹,fruit30_split/val/山竹/89.jpg
