类别,precision,recall,f1-score,support,accuracy,AP,AUC
哈密瓜,0.8823529411764706,0.8108108108108109,0.8450704225352113,37.0,0.8108108108108109,0.922526445030624,0.9925227821481424
圣女果,0.9230769230769232,0.631578947368421,0.7499999999999999,38.0,0.631578947368421,0.8915356685072175,0.9945344129554656
山竹,1.0,0.8285714285714286,0.90625,35.0,0.8285714285714286,0.9975496865412832,0.999917819476784
杨梅,0.8611111111111112,0.8378378378378378,0.8493150684931507,37.0,0.8378378378378378,0.9597070906692028,0.996001765454215
柚子,0.7368421052631579,0.7567567567567568,0.7466666666666667,37.0,0.7567567567567568,0.8177835980561184,0.9866552431393929
柠檬,0.8,0.8275862068965517,0.8135593220338982,29.0,0.8275862068965517,0.8086784244015416,0.9913217842937445
桂圆,0.76,1.0,0.8636363636363636,38.0,1.0,0.9938071923996036,0.999746963562753
梨,0.8285714285714286,0.7837837837837838,0.8055555555555555,37.0,0.7837837837837838,0.9196174068554458,0.9961575408261286
椰子,0.918918918918919,0.8947368421052632,0.9066666666666668,38.0,0.8947368421052632,0.9536045893216516,0.9975708502024291
榴莲,0.935483870967742,0.8055555555555556,0.8656716417910448,36.0,0.8055555555555556,0.9393054396242032,0.9941352100661123
火龙果,1.0,0.9166666666666666,0.9565217391304348,36.0,0.9166666666666666,0.9949494949494948,0.999786734911495
猕猴桃,0.9696969696969696,0.8648648648648649,0.9142857142857144,37.0,0.8648648648648649,0.9355368177104544,0.983669548511047
石榴,0.8421052631578947,0.8648648648648649,0.8533333333333334,37.0,0.8648648648648649,0.9464719899852369,0.996546979255913
砂糖橘,0.8055555555555556,0.8285714285714286,0.8169014084507044,35.0,0.8285714285714286,0.9448961994805332,0.9978085193809068
胡萝卜,0.9142857142857144,0.8888888888888888,0.9014084507042254,36.0,0.8888888888888888,0.9677904741895382,0.99872040946897
脐橙,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0,0.7297297297297297,0.8736931939560681,0.9896409377677389
芒果,0.7714285714285715,0.8181818181818182,0.7941176470588236,33.0,0.8181818181818182,0.8545150604079272,0.99147455415398
苦瓜,1.0,0.7714285714285715,0.870967741935484,35.0,0.7714285714285715,0.9940009337068162,0.9997808519380906
苹果-红,0.9117647058823528,0.8857142857142857,0.8985507246376812,35.0,0.8857142857142857,0.9547216297174584,0.9971236816874401
苹果-青,0.8372093023255814,0.972972972972973,0.9,37.0,0.972972972972973,0.9801551036334896,0.999247085702417
草莓,0.9210526315789472,0.9210526315789472,0.9210526315789472,38.0,0.9210526315789472,0.9777528683259292,0.9990384615384614
荔枝,0.8536585365853658,0.9210526315789472,0.8860759493670887,38.0,0.9210526315789472,0.968488406561734,0.9978238866396761
菠萝,0.967741935483871,0.8108108108108109,0.8823529411764706,37.0,0.8108108108108109,0.9604334557887124,0.9981306955370356
葡萄-白,0.9375,0.967741935483871,0.9523809523809524,31.0,0.967741935483871,0.9910915966599833,0.9996610900576147
葡萄-红,0.7659574468085106,0.9473684210526316,0.8470588235294116,38.0,0.9473684210526316,0.9682761994553426,0.9984564777327934
西瓜,0.8333333333333334,0.945945945945946,0.8860759493670887,37.0,0.945945945945946,0.9549277557340732,0.9975854817353377
西红柿,0.717391304347826,0.9166666666666666,0.8048780487804877,36.0,0.9166666666666666,0.8972054646232409,0.9929622520793345
车厘子,1.0,0.84375,0.9152542372881356,32.0,0.84375,0.9714104812598116,0.9988945984703633
香蕉,0.9705882352941176,0.9166666666666666,0.9428571428571428,36.0,0.9166666666666666,0.9912204444067192,0.9996534442311793
黄瓜,0.7608695652173914,1.0,0.8641975308641976,35.0,1.0,0.977640626587275,0.9990686207368854
macro avg,0.8740204672375526,0.8636719323784996,0.8640408684795524,1078.0,0.8636719323784996,0.9436431246182244,0.996121289455395
weighted avg,0.8735626530860222,0.8636363636363636,0.8637284606185615,1078.0,0.8636363636363638,0.944321107753096,0.9961226653870681
