batch,epoch,train_accuracy,train_loss
0.0,0.0,0.0625,3.4914072
1.0,1.0,0.0625,3.6611938
2.0,1.0,0.0,3.6875064
3.0,1.0,0.03125,3.5361297
4.0,1.0,0.03125,3.6384752
5.0,1.0,0.0625,3.530016
6.0,1.0,0.0625,3.4162393
7.0,1.0,0.0,3.370381
8.0,1.0,0.0625,3.565737
9.0,1.0,0.0625,3.6474686
10.0,1.0,0.03125,3.329762
11.0,1.0,0.0,3.4511147
12.0,1.0,0.0625,3.1478605
13.0,1.0,0.21875,3.0998719
14.0,1.0,0.125,3.0950856
15.0,1.0,0.125,3.1644564
16.0,1.0,0.15625,3.027275
17.0,1.0,0.15625,3.2783895
18.0,1.0,0.125,3.047205
19.0,1.0,0.25,2.8726048
20.0,1.0,0.125,3.1435971
21.0,1.0,0.375,2.9631145
22.0,1.0,0.3125,2.9797902
23.0,1.0,0.25,2.8770394
24.0,1.0,0.1875,2.9197664
25.0,1.0,0.28125,2.876763
26.0,1.0,0.1875,2.923133
27.0,1.0,0.25,2.85669
28.0,1.0,0.25,2.8261666
29.0,1.0,0.21875,2.907598
30.0,1.0,0.21875,2.7942033
31.0,1.0,0.34375,2.668609
32.0,1.0,0.1875,2.8015509
33.0,1.0,0.40625,2.5463736
34.0,1.0,0.375,2.6275437
35.0,1.0,0.34375,2.3921032
36.0,1.0,0.28125,2.6038377
37.0,1.0,0.40625,2.5525918
38.0,1.0,0.40625,2.4517357
39.0,1.0,0.53125,2.3225873
40.0,1.0,0.4375,2.3843772
41.0,1.0,0.46875,2.3442082
42.0,1.0,0.375,2.6746593
43.0,1.0,0.4375,2.4040394
44.0,1.0,0.34375,2.5691593
45.0,1.0,0.375,2.440989
46.0,1.0,0.46875,2.25002
47.0,1.0,0.5625,2.1521323
48.0,1.0,0.375,2.5937397
49.0,1.0,0.40625,2.2037885
50.0,1.0,0.46875,2.1251767
51.0,1.0,0.5,2.2488291
52.0,1.0,0.4375,2.382708
53.0,1.0,0.4375,2.3633988
54.0,1.0,0.5,2.2547984
55.0,1.0,0.625,2.0684862
56.0,1.0,0.5,2.3106232
57.0,1.0,0.375,2.403966
58.0,1.0,0.71875,1.8906784
59.0,1.0,0.34375,2.50556
60.0,1.0,0.5,2.235462
61.0,1.0,0.71875,1.9263356
62.0,1.0,0.34375,2.2478008
63.0,1.0,0.65625,1.9706591
64.0,1.0,0.5,2.0129175
65.0,1.0,0.53125,2.1333084
66.0,1.0,0.84375,1.6997801
67.0,1.0,0.46875,2.1814687
68.0,1.0,0.5625,1.9619358
69.0,1.0,0.5625,1.9913921
70.0,1.0,0.5625,2.0751817
71.0,1.0,0.53125,2.1149256
72.0,1.0,0.625,1.8214909
73.0,1.0,0.625,1.8536094
74.0,1.0,0.53125,1.8893408
75.0,1.0,0.59375,1.9511968
76.0,1.0,0.71875,1.6116458
77.0,1.0,0.53125,1.853001
78.0,1.0,0.5625,1.6847602
79.0,1.0,0.5625,2.1505458
80.0,1.0,0.65625,1.5682087
81.0,1.0,0.5625,1.6954952
82.0,1.0,0.65625,1.6358671
83.0,1.0,0.5,1.9834355
84.0,1.0,0.59375,1.8583717
85.0,1.0,0.59375,1.6725097
86.0,1.0,0.65625,1.7076862
87.0,1.0,0.59375,1.6525333
88.0,1.0,0.65625,1.6501547
89.0,1.0,0.53125,1.8982141
90.0,1.0,0.5,1.9583201
91.0,1.0,0.375,1.8991191
92.0,1.0,0.71875,1.6863197
93.0,1.0,0.46875,1.9581637
94.0,1.0,0.8125,1.34602
95.0,1.0,0.625,1.7219635
96.0,1.0,0.65625,1.5780247
97.0,1.0,0.59375,1.4913033
98.0,1.0,0.71875,1.5166295
99.0,1.0,0.65625,1.8183185
100.0,1.0,0.78125,1.5133377
101.0,1.0,0.84375,1.4316118
102.0,1.0,0.75,1.48983
103.0,1.0,0.75,1.4905535
104.0,1.0,0.65625,1.5005398
105.0,1.0,0.59375,1.7452086
106.0,1.0,0.6875,1.527043
107.0,1.0,0.6875,1.5828112
108.0,1.0,0.59375,1.7796378
109.0,1.0,0.53125,1.7821281
110.0,1.0,0.625,1.7124548
111.0,1.0,0.625,1.5497127
112.0,1.0,0.625,1.5789379
113.0,1.0,0.625,1.718122
114.0,1.0,0.6875,1.6744081
115.0,1.0,0.6875,1.6146984
116.0,1.0,0.5625,1.6586479
117.0,1.0,0.375,1.9958866
118.0,1.0,0.71875,1.283832
119.0,1.0,0.5625,1.7181785
120.0,1.0,0.78125,1.3731544
121.0,1.0,0.59375,1.4614161
122.0,1.0,0.78125,1.1893167
123.0,1.0,0.65625,1.2253981
124.0,1.0,0.34375,2.0951967
125.0,1.0,0.5,1.822508
126.0,1.0,0.71875,1.2238292
127.0,1.0,0.6875,1.332246
128.0,1.0,0.625,1.5888826
129.0,1.0,0.625,1.4662222
130.0,1.0,0.84375,1.2666881
131.0,1.0,0.78125,1.4369922
132.0,1.0,0.75,1.1056697
133.0,1.0,0.625,1.5571074
134.0,1.0,0.90625,0.96429646
135.0,1.0,0.6875,1.6667606
136.0,1.0,0.65625,1.3953357
137.0,1.0,0.782608695652174,1.3055817
138.0,2.0,0.75,1.1514033
139.0,2.0,0.6875,1.4927922
140.0,2.0,0.625,1.4658424
141.0,2.0,0.6875,1.2427821
142.0,2.0,0.6875,1.3826416
143.0,2.0,0.59375,1.5620933
144.0,2.0,0.75,1.2269205
145.0,2.0,0.6875,1.4763244
146.0,2.0,0.65625,1.2915765
147.0,2.0,0.71875,1.1914412
